Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Is Pseudo	# Transcripts	Gene Name or Symbol	Previous ID(s)	
PBANKA_0403000	PBANKA_0403000.1	Plasmodium berghei ANKA	PbANKA_04_v3:112,358..112,842(+)	60S ribosomal protein L44, putative	No	1	RPL44	Previous IDs: PB001024.00.0;PBANKA_040300	
PBANKA_0403100	PBANKA_0403100.1	Plasmodium berghei ANKA	PbANKA_04_v3:113,352..114,087(-)	1-cys-glutaredoxin-like protein-1, putative	No	1	GLP1	Previous IDs: PB001023.00.0;PB301276.00.0;PBANKA_040310	
PBANKA_0403200	PBANKA_0403200.1	Plasmodium berghei ANKA	PbANKA_04_v3:115,144..116,166(-)	circumsporozoite (CS) protein	No	1	CSP	Previous IDs: PB001026.00.0;PBANKA_040320	
PBANKA_0403300	PBANKA_0403300.1	Plasmodium berghei ANKA	PbANKA_04_v3:118,805..122,911(+)	conserved Plasmodium membrane protein, unknown function	No	1	N/A	Previous IDs: PB000855.02.0;PB101790.00.0;PBANKA_040330	
PBANKA_0403400	PBANKA_0403400.1	Plasmodium berghei ANKA	PbANKA_04_v3:123,368..123,886(-)	conserved protein, unknown function	No	1	N/A	Previous IDs: PB000856.02.0;PB402761.00.0;PBANKA_040340	
PBANKA_0403500	PBANKA_0403500.1	Plasmodium berghei ANKA	PbANKA_04_v3:125,196..126,489(-)	elongation factor (EF-TS), putative	No	1	EF-Ts	Previous IDs: PB001053.00.0;PB300497.00.0;PBANKA_040350	
PBANKA_0403600	PBANKA_0403600.1	Plasmodium berghei ANKA	PbANKA_04_v3:127,356..137,946(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000169.01.0;PB000585.00.0;PB000674.00.0;PB001054.00.0;PB102533.00.0;PB404659.00.0;PBANKA_040360	
PBANKA_0403700	PBANKA_0403700.1	Plasmodium berghei ANKA	PbANKA_04_v3:140,698..143,397(+)	GRIP domain-containing protein, putative	No	1	N/A	Previous IDs: PB000227.02.0;PBANKA_040370	
PBANKA_0403800	PBANKA_0403800.1	Plasmodium berghei ANKA	PbANKA_04_v3:144,333..146,745(-)	transporter, putative	No	1	N/A	Previous IDs: PB000797.03.0;PBANKA_040380	
PBANKA_0403900	PBANKA_0403900.1	Plasmodium berghei ANKA	PbANKA_04_v3:148,343..149,023(+)	conserved protein, unknown function	No	1	N/A	Previous IDs: PB000569.01.0;PBANKA_040390	
PBANKA_0404000	PBANKA_0404000.1	Plasmodium berghei ANKA	PbANKA_04_v3:149,758..159,693(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000570.01.0;PBANKA_040400	
PBANKA_0404100	PBANKA_0404100.1	Plasmodium berghei ANKA	PbANKA_04_v3:161,768..163,390(-)	DNA-(apurinic or apyrimidinic site) lyase, putative	No	1	APE1	Previous IDs: PB000718.02.0;PB300698.00.0;PBANKA_040410	
PBANKA_0404200	PBANKA_0404200.1	Plasmodium berghei ANKA	PbANKA_04_v3:164,544..165,224(-)	ubiquitin-conjugating enzyme E2, putative	No	1	N/A	Previous IDs: PB000719.02.0;PB301382.00.0;PBANKA_040420	
PBANKA_0404300	PBANKA_0404300.1	Plasmodium berghei ANKA	PbANKA_04_v3:167,234..169,948(+)	P-loop containing nucleoside triphosphate hydrolase, putative	No	1	N/A	Previous IDs: PB000747.02.0;PBANKA_040430	
PBANKA_0404400	PBANKA_0404400.1	Plasmodium berghei ANKA	PbANKA_04_v3:171,168..171,578(-)	cytochrome b-c1 complex subunit 8, putative	No	1	QCR8	Previous IDs: PB000748.02.0;PBANKA_040440	
PBANKA_0404500	PBANKA_0404500.1	Plasmodium berghei ANKA	PbANKA_04_v3:173,316..174,535(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000750.02.0;PB300704.00.0;PBANKA_040450	
PBANKA_0404600	PBANKA_0404600.1	Plasmodium berghei ANKA	PbANKA_04_v3:176,530..178,052(+)	activator of Hsp90 ATPase, putative	No	1	AHA1	Previous IDs: PB000749.02.0;PB300098.00.0;PBANKA_040460	
PBANKA_0404700	PBANKA_0404700.1	Plasmodium berghei ANKA	PbANKA_04_v3:178,601..179,501(-)	glutaredoxin 1, putative	No	1	GRX1	Previous IDs: PB000751.02.0;PBANKA_040470	
PBANKA_0404800	PBANKA_0404800.1	Plasmodium berghei ANKA	PbANKA_04_v3:181,072..182,955(+)	FAD-dependent glycerol-3-phosphate dehydrogenase, putative	No	1	N/A	Previous IDs: PB001022.02.0;PBANKA_040480	
PBANKA_0404900	PBANKA_0404900.1	Plasmodium berghei ANKA	PbANKA_04_v3:183,735..184,637(-)	cytochrome c oxidase subunit ApiCOX35, putative	No	1	N/A	Previous IDs: PB001023.02.0;PB402578.00.0;PBANKA_040490	
PBANKA_0405000	PBANKA_0405000.1	Plasmodium berghei ANKA	PbANKA_04_v3:185,770..186,027(+)	ATP synthase-associated protein, putative	No	1	N/A	Previous IDs: PB001024.02.0;PBANKA_040500	
PBANKA_0405100	PBANKA_0405100.1	Plasmodium berghei ANKA	PbANKA_04_v3:187,262..187,943(+)	ER membrane protein complex subunit 5, putative	No	1	EMC5	Previous IDs: PB104967.00.0;PBANKA_040510	
PBANKA_0405200	PBANKA_0405200.1	Plasmodium berghei ANKA	PbANKA_04_v3:188,892..190,669(-)	T-complex protein 1 subunit beta, putative	No	1	CCT2	Previous IDs: PB000354.02.0;PBANKA_040520	
PBANKA_0405300	PBANKA_0405300.1	Plasmodium berghei ANKA	PbANKA_04_v3:193,055..194,284(+)	40S ribosomal protein S23, putative	No	1	N/A	Previous IDs: PB001184.00.0;PBANKA_040530	
PBANKA_0405310	PBANKA_0405310.1	Plasmodium berghei ANKA	PbANKA_04_v3:193,746..193,885(+)	small nucleolar RNA snoR03	No	1	N/A	Previous IDs: PBANKA_040531	
PBANKA_0405400	PBANKA_0405400.1	Plasmodium berghei ANKA	PbANKA_04_v3:195,002..195,648(-)	40S ribosomal protein S12, putative	No	1	RPS12	Previous IDs: PB001183.00.0;PBANKA_040540	
PBANKA_0405500	PBANKA_0405500.1	Plasmodium berghei ANKA	PbANKA_04_v3:196,983..198,204(-)	60S ribosomal protein L7, putative	No	1	N/A	Previous IDs: PB001182.00.0;PB300357.00.0;PBANKA_040550	
PBANKA_0405600	PBANKA_0405600.1	Plasmodium berghei ANKA	PbANKA_04_v3:201,127..202,434(+)	microtubule-associated protein RP/EB family, putative	No	1	EB1	Previous IDs: PB001114.03.0;PBANKA_040560	
PBANKA_0405700	PBANKA_0405700.1	Plasmodium berghei ANKA	PbANKA_04_v3:203,138..204,130(-)	ATP-dependent Clp protease proteolytic subunit, putative	No	1	ClpP	Previous IDs: PB001115.03.0;PBANKA_040570	
PBANKA_0405800	PBANKA_0405800.1	Plasmodium berghei ANKA	PbANKA_04_v3:204,664..206,416(-)	spindle and kinetochore-associated protein 2, putative	No	1	SKA2	Previous IDs: PB000887.01.0;PB301199.00.0;PBANKA_040580	
PBANKA_0405900	PBANKA_0405900.1	Plasmodium berghei ANKA	PbANKA_04_v3:207,370..209,283(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB001091.03.0;PB405061.00.0;PBANKA_040590	
PBANKA_0406000	PBANKA_0406000.1	Plasmodium berghei ANKA	PbANKA_04_v3:209,544..214,856(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000398.01.0;PB001090.03.0;PB301063.00.0;PBANKA_040600	
PBANKA_0406100	PBANKA_0406100.1	Plasmodium berghei ANKA	PbANKA_04_v3:216,808..218,658(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000396.01.0;PBANKA_040610	
PBANKA_0406200	PBANKA_0406200.1	Plasmodium berghei ANKA	PbANKA_04_v3:219,037..230,225(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000005.02.0;PB000397.01.0;PB000629.03.0;PB300093.00.0;PBANKA_040620	
PBANKA_0406300	PBANKA_0406300.1	Plasmodium berghei ANKA	PbANKA_04_v3:231,953..233,386(+)	DNA polymerase delta small subunit, putative	No	1	N/A	Previous IDs: PB000615.00.0;PBANKA_040630	
PBANKA_0406400	PBANKA_0406400.1	Plasmodium berghei ANKA	PbANKA_04_v3:234,708..239,279(+)	zinc finger protein, putative	No	1	N/A	Previous IDs: PB000832.01.0;PB300012.00.0;PBANKA_040640	
PBANKA_0406500	PBANKA_0406500.1	Plasmodium berghei ANKA	PbANKA_04_v3:240,132..241,895(-)	T-complex protein 1 subunit eta, putative	No	1	CCT7	Previous IDs: PB000831.01.0;PB300762.00.0;PBANKA_040650	
PBANKA_0406600	PBANKA_0406600.1	Plasmodium berghei ANKA	PbANKA_04_v3:243,301..244,134(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB103672.00.0;PBANKA_040660	
PBANKA_0406650	PBANKA_0406650.1	Plasmodium berghei ANKA	PbANKA_04_v3:245,880..246,011(+)	U4 spliceosomal RNA	No	1	N/A	Previous IDs: PBANKA_040665;berg04:ncRNA:rfamscan:257341-257472	
PBANKA_0406700	PBANKA_0406700.1	Plasmodium berghei ANKA	PbANKA_04_v3:247,467..248,138(+)	activator of Hsp90 ATPase, putative	No	1	N/A	Previous IDs: PB000835.01.0;PBANKA_040670	
PBANKA_0406800	PBANKA_0406800.1	Plasmodium berghei ANKA	PbANKA_04_v3:249,319..250,818(+)	pre-mRNA-processing factor 19, putative	No	1	PRPF19	Previous IDs: PB000833.01.0;PBANKA_040680	
PBANKA_0406900	PBANKA_0406900.1	Plasmodium berghei ANKA	PbANKA_04_v3:252,482..254,165(+)	conserved protein, unknown function	No	1	N/A	Previous IDs: PB000834.01.0;PB000908.01.0;PBANKA_040690	
PBANKA_0407000	PBANKA_0407000.1	Plasmodium berghei ANKA	PbANKA_04_v3:255,013..255,500(+)	conserved protein, unknown function	No	1	N/A	Previous IDs: PB000909.01.0;PBANKA_040700	
PBANKA_0407100	PBANKA_0407100.1	Plasmodium berghei ANKA	PbANKA_04_v3:256,155..259,964(-)	splicing factor 3B subunit 1, putative	No	1	SF3B1	Previous IDs: PB000907.01.0;PB300175.00.0;PB300421.00.0;PBANKA_040710	
PBANKA_0407200	PBANKA_0407200.1	Plasmodium berghei ANKA	PbANKA_04_v3:261,568..263,657(+)	dual specificity protein phosphatase	No	1	YVH1	Previous IDs: PB000827.00.0;PB300105.00.0;PBANKA_040720;PbYVH1	
PBANKA_0407300	PBANKA_0407300.1	Plasmodium berghei ANKA	PbANKA_04_v3:263,937..264,975(-)	OMD protein	No	1	OMD	Previous IDs: PB001386.02.0;PBANKA_040730	
PBANKA_0407400	PBANKA_0407400.1	Plasmodium berghei ANKA	PbANKA_04_v3:265,656..271,056(-)	serine/threonine protein kinase ARK2, putative	No	1	ARK2	Previous IDs: PB001379.02.0;PBANKA_040740	
PBANKA_0407500	PBANKA_0407500.1	Plasmodium berghei ANKA	PbANKA_04_v3:273,695..275,767(+)	N2227-like protein, putative	No	1	N/A	Previous IDs: PB001380.02.0;PBANKA_040750	
PBANKA_0407550	PBANKA_0407550.1	Plasmodium berghei ANKA	PbANKA_04_v3:276,585..276,669(-)	small nucleolar RNA Me18S-Um1356	No	1	N/A	Previous IDs: PBANKA_040755;berg04:ncRNA:rfamscan:288046-288130	
PBANKA_0407600	PBANKA_0407600.1	Plasmodium berghei ANKA	PbANKA_04_v3:277,672..280,203(+)	asparagine synthetase [glutamine-hydrolyzing]	No	1	AS	Previous IDs: PB000521.01.0;PB000699.00.0;PB300687.00.0;PBANKA_040760	
PBANKA_0407700	PBANKA_0407700.1	Plasmodium berghei ANKA	PbANKA_04_v3:282,316..282,651(+)	60S acidic ribosomal protein P2, putative	No	1	N/A	Previous IDs: PB000523.01.0;PBANKA_040770	
PBANKA_0407800	PBANKA_0407800.1	Plasmodium berghei ANKA	PbANKA_04_v3:283,275..284,855(-)	SECIS-binding protein 2, putative	No	1	SBP2	Previous IDs: PB000522.01.0;PB106865.00.0;PB301218.00.0;PBANKA_040780	
PBANKA_0407900	PBANKA_0407900.1	Plasmodium berghei ANKA	PbANKA_04_v3:285,798..287,480(+)	YTH domain-containing protein 2, putative	No	1	YTH.2	Previous IDs: PB001648.02.0;PBANKA_040790	
PBANKA_0408000	PBANKA_0408000.1	Plasmodium berghei ANKA	PbANKA_04_v3:287,998..292,864(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000508.01.0;PB000611.01.0;PB001649.02.0;PBANKA_040800	
PBANKA_0408100	PBANKA_0408100.1	Plasmodium berghei ANKA	PbANKA_04_v3:293,710..294,583(+)	50S ribosomal protein L9, apicoplast, putative	No	1	N/A	Previous IDs: PB000491.03.0;PBANKA_040810	
PBANKA_0408200	PBANKA_0408200.1	Plasmodium berghei ANKA	PbANKA_04_v3:296,370..298,501(+)	calcium-dependent protein kinase 3	No	1	CDPK3	Previous IDs: PB000947.00.0;PBANKA_040820	
PBANKA_0408300	PBANKA_0408300.1	Plasmodium berghei ANKA	PbANKA_04_v3:300,183..310,724(+)	phd finger protein, putative	No	1	N/A	Previous IDs: PB000473.00.0;PB108264.00.0;PB300580.00.0;PB300595.00.0;PBANKA_040830	
PBANKA_0408400	PBANKA_0408400.1	Plasmodium berghei ANKA	PbANKA_04_v3:312,521..315,844(+)	phosphoglycerate mutase, putative	No	1	N/A	Previous IDs: PB001107.03.0;PB300605.00.0;PB300992.00.0;PBANKA_040840	
PBANKA_0408500	PBANKA_0408500.1	Plasmodium berghei ANKA	PbANKA_04_v3:316,756..319,725(+)	parasite-infected erythrocyte surface protein	No	1	PIESP1	Previous IDs: PB001106.03.0;PB300606.00.0;PBANKA_040850	
PBANKA_0408600	PBANKA_0408600.1	Plasmodium berghei ANKA	PbANKA_04_v3:321,067..322,194(-)	eukaryotic translation initiation factor 3 subunit K, putative	No	1	EIF3K	Previous IDs: PBANKA_040860	
PBANKA_0408700	PBANKA_0408700.1	Plasmodium berghei ANKA	PbANKA_04_v3:323,169..323,778(+)	trafficking protein particle complex subunit 4, putative	No	1	TRAPPC4	Previous IDs: PB001028.03.0;PBANKA_040870	
PBANKA_0408800	PBANKA_0408800.1	Plasmodium berghei ANKA	PbANKA_04_v3:323,904..324,233(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB001029.03.0;PBANKA_040880	
PBANKA_0408900	PBANKA_0408900.1	Plasmodium berghei ANKA	PbANKA_04_v3:325,304..327,601(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB001196.00.0;PB300898.00.0;PBANKA_040890	
PBANKA_0409000	PBANKA_0409000.1	Plasmodium berghei ANKA	PbANKA_04_v3:328,578..329,357(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB001197.00.0;PBANKA_040900	
PBANKA_0409100	PBANKA_0409100.1	Plasmodium berghei ANKA	PbANKA_04_v3:329,754..331,302(-)	pre-mRNA splicing factor, putative	No	1	N/A	Previous IDs: PB001198.00.0;PBANKA_040910	
PBANKA_0409200	PBANKA_0409200.1	Plasmodium berghei ANKA	PbANKA_04_v3:332,624..336,176(+)	valine--tRNA ligase, putative	No	1	N/A	Previous IDs: PB001195.00.0;PBANKA_040920	
PBANKA_0409300	PBANKA_0409300.1	Plasmodium berghei ANKA	PbANKA_04_v3:336,850..340,161(-)	phosphatidylinositol 3- and 4-kinase, putative	No	1	N/A	Previous IDs: PB001194.00.0;PB300199.00.0;PB300243.00.0;PB300519.00.0;PBANKA_040930	
PBANKA_0409400	PBANKA_0409400.1	Plasmodium berghei ANKA	PbANKA_04_v3:344,922..353,185(+)	kinase-related protein PKRP	No	1	PKRP	Previous IDs: PB000166.02.0;PB001650.02.0;PB105688.00.0;PB401153.00.0;PBANKA_040940	
PBANKA_0409500	PBANKA_0409500.1	Plasmodium berghei ANKA	PbANKA_04_v3:354,431..354,676(-)	conserved protein, unknown function	No	1	N/A	Previous IDs: PBANKA_040950	
PBANKA_0409600	PBANKA_0409600.1	Plasmodium berghei ANKA	PbANKA_04_v3:356,704..359,288(+)	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST1, putative	No	1	OST1	Previous IDs: PB301183.00.0;PB401081.00.0;PBANKA_040960	
PBANKA_0409700	PBANKA_0409700.1	Plasmodium berghei ANKA	PbANKA_04_v3:359,895..362,966(+)	plasmepsin VI, putative	No	1	PM6	Previous IDs: PB000864.03.0;PBANKA_040970	
PBANKA_0409800	PBANKA_0409800.1	Plasmodium berghei ANKA	PbANKA_04_v3:363,931..365,897(+)	ATP synthase F0 subunit d-like protein, putative	No	1	N/A	Previous IDs: PB001146.02.0;PBANKA_040980	
PBANKA_0409900	PBANKA_0409900.1	Plasmodium berghei ANKA	PbANKA_04_v3:366,592..368,562(-)	heptatricopeptide repeat-containing protein, putative	No	1	N/A	Previous IDs: PB000412.03.0;PB001147.02.0;PB300661.00.0;PBANKA_040990	
PBANKA_0410000	PBANKA_0410000.1	Plasmodium berghei ANKA	PbANKA_04_v3:369,245..370,138(+)	conserved protein, unknown function	No	1	N/A	Previous IDs: PB000413.03.0;PB300923.00.0;PBANKA_041000	
PBANKA_0410100	PBANKA_0410100.1	Plasmodium berghei ANKA	PbANKA_04_v3:370,985..373,042(+)	E3 ubiquitin-protein ligase, putative	No	1	N/A	Previous IDs: PB000247.01.0;PB107572.00.0;PBANKA_041010	
PBANKA_0410200	PBANKA_0410200.1	Plasmodium berghei ANKA	PbANKA_04_v3:373,190..376,222(-)	tetratricopeptide repeat protein, putative	No	1	N/A	Previous IDs: PB000248.01.0;PB000290.00.0;PB108499.00.0;PB108500.00.0;PBANKA_041020	
PBANKA_0410300	PBANKA_0410300.1	Plasmodium berghei ANKA	PbANKA_04_v3:377,264..378,175(+)	26S proteasome regulatory subunit RPN12, putative	No	1	RPN12	Previous IDs: PB000289.00.0;PBANKA_041030	
PBANKA_0410400	PBANKA_0410400.1	Plasmodium berghei ANKA	PbANKA_04_v3:379,254..381,512(-)	glycogen synthase kinase 3, putative	No	1	GSK3	Previous IDs: PB000288.00.0;PB300789.00.0;PBANKA_041040	
PBANKA_0410500	PBANKA_0410500.1	Plasmodium berghei ANKA	PbANKA_04_v3:384,340..386,508(+)	major facilitator superfamily-related transporter, putative	No	1	MFR3	Previous IDs: PB000258.00.0;PB300890.00.0;PBANKA_041050	
PBANKA_0410541	PBANKA_0410541:tRNA	Plasmodium berghei ANKA	PbANKA_04_v3:387,217..387,289(+)	tRNA Valine	No	1	N/A	Previous IDs: berg04:tRNA:rfamscan:398679-398751	
PBANKA_0410561	PBANKA_0410561:tRNA	Plasmodium berghei ANKA	PbANKA_04_v3:387,795..387,868(-)	tRNA Isoleucine	No	1	N/A	Previous IDs: berg04:tRNA:rfamscan:399257-399330	
PBANKA_0410600	PBANKA_0410600.1	Plasmodium berghei ANKA	PbANKA_04_v3:388,544..389,322(+)	60S ribosomal protein L26, putative	No	1	N/A	Previous IDs: PB000260.00.0;PBANKA_041060	
PBANKA_0410650	PBANKA_0410650.1	Plasmodium berghei ANKA	PbANKA_04_v3:390,315..391,601(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB100478.00.0;PB100479.00.0;PB405802.00.0;PBANKA_041065	
PBANKA_0410700	PBANKA_0410700.1	Plasmodium berghei ANKA	PbANKA_04_v3:392,246..393,271(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB100477.00.0;PBANKA_041070	
PBANKA_0410800	PBANKA_0410800.1	Plasmodium berghei ANKA	PbANKA_04_v3:393,953..396,494(+)	ubiquitin-protein ligase, putative	No	1	N/A	Previous IDs: PB000257.00.0;PBANKA_041080	
PBANKA_0410900	PBANKA_0410900.1	Plasmodium berghei ANKA	PbANKA_04_v3:396,912..397,547(-)	conserved protein, unknown function	No	1	N/A	Previous IDs: PB000259.00.0;PBANKA_041090	
PBANKA_0411000	PBANKA_0411000.1	Plasmodium berghei ANKA	PbANKA_04_v3:397,669..398,799(-)	YGGT family protein, putative	No	1	N/A	Previous IDs: PB000261.00.0;PB100474.00.0;PBANKA_041100	
PBANKA_0411100	PBANKA_0411100.1	Plasmodium berghei ANKA	PbANKA_04_v3:399,444..401,429(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB001104.01.0;PB401420.00.0;PBANKA_041110	
PBANKA_0411200	PBANKA_0411200.1	Plasmodium berghei ANKA	PbANKA_04_v3:401,895..404,255(+)	Ras-like G protein, putative	No	1	N/A	Previous IDs: PB000950.02.0;PBANKA_041120	
PBANKA_0411300	PBANKA_0411300.1	Plasmodium berghei ANKA	PbANKA_04_v3:404,531..407,187(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000952.02.0;PB105931.00.0;PB300726.00.0;PB301411.00.0;PB402756.00.0;PBANKA_041130	
PBANKA_0411400	PBANKA_0411400.1	Plasmodium berghei ANKA	PbANKA_04_v3:407,473..410,933(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000951.02.0;PB105927.00.0;PB301084.00.0;PBANKA_041140	
PBANKA_0411500	PBANKA_0411500.1	Plasmodium berghei ANKA	PbANKA_04_v3:411,571..414,125(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000017.01.0;PB000946.01.0;PB104666.00.0;PBANKA_041150	
PBANKA_0411600	PBANKA_0411600.1	Plasmodium berghei ANKA	PbANKA_04_v3:414,205..417,078(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000528.03.0;PB000945.01.0;PB100181.00.0;PBANKA_041160	
PBANKA_0411700	PBANKA_0411700.1	Plasmodium berghei ANKA	PbANKA_04_v3:418,781..420,411(+)	HSP20-like chaperone, putative	No	1	N/A	Previous IDs: PB000102.00.0;PBANKA_041170	
PBANKA_0411800	PBANKA_0411800.1	Plasmodium berghei ANKA	PbANKA_04_v3:420,745..422,336(-)	vesicle transport v-SNARE protein, putative	No	1	N/A	Previous IDs: PB100183.00.0;PBANKA_041180	
PBANKA_0411900	PBANKA_0411900.1	Plasmodium berghei ANKA	PbANKA_04_v3:422,941..424,179(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PBANKA_041190	
PBANKA_0411950	PBANKA_0411950.1	Plasmodium berghei ANKA	PbANKA_04_v3:424,426..428,352(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB301046.00.0;PB301412.00.0;PBANKA_041195;PBANKA_041200	
PBANKA_0412000	PBANKA_0412000.1	Plasmodium berghei ANKA	PbANKA_04_v3:428,593..429,726(-)	DER1-like protein, putative	No	1	DER1-2	Previous IDs: PB301046.00.0;PB301412.00.0;PBANKA_041200	
PBANKA_0412100	PBANKA_0412100.1	Plasmodium berghei ANKA	PbANKA_04_v3:430,838..431,764(-)	serine/threonine protein phosphatase 6	No	1	PPP6	Previous IDs: PB000189.00.0;PB301409.00.0;PBANKA_041210	
PBANKA_0412200	PBANKA_0412200.1	Plasmodium berghei ANKA	PbANKA_04_v3:434,797..435,678(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PBANKA_041220	
PBANKA_0412300	PBANKA_0412300.1	Plasmodium berghei ANKA	PbANKA_04_v3:437,000..437,698(+)	conserved protein, unknown function	No	1	N/A	Previous IDs: PB300608.00.0;PBANKA_041230	
PBANKA_0412400	PBANKA_0412400.1	Plasmodium berghei ANKA	PbANKA_04_v3:438,447..441,209(-)	RING finger protein RNF1, putative	No	1	RNF1	Previous IDs: PB108525.00.0;PB402538.00.0;PBANKA_041240	
PBANKA_0412500	PBANKA_0412500.1	Plasmodium berghei ANKA	PbANKA_04_v3:449,951..452,687(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000077.03.0;PB000418.02.0;PBANKA_041250	
PBANKA_0412600	PBANKA_0412600.1	Plasmodium berghei ANKA	PbANKA_04_v3:454,202..455,656(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PBANKA_041260	
PBANKA_0412700	PBANKA_0412700.1	Plasmodium berghei ANKA	PbANKA_04_v3:456,347..457,043(+)	zinc finger protein, putative	No	1	N/A	Previous IDs: PB000858.02.0;PBANKA_041270	
PBANKA_0412800	PBANKA_0412800.1	Plasmodium berghei ANKA	PbANKA_04_v3:457,776..458,459(-)	eukaryotic translation initiation factor 4E, putative	No	1	eIF4E	Previous IDs: PB000857.02.0;PBANKA_041280	
PBANKA_0412900	PBANKA_0412900.1	Plasmodium berghei ANKA	PbANKA_04_v3:462,132..467,849(+)	circumsporozoite- and TRAP-related protein	No	1	CTRP	Previous IDs: PB000233.00.0;PBANKA_041290	
PBANKA_0413000	PBANKA_0413000.1	Plasmodium berghei ANKA	PbANKA_04_v3:468,932..475,693(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB100426.00.0;PB100427.00.0;PB100886.00.0;PBANKA_041300;PBANKA_041310	
PBANKA_0413200	PBANKA_0413200.1	Plasmodium berghei ANKA	PbANKA_04_v3:476,000..476,698(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000496.00.0;PBANKA_041320	
PBANKA_0413300	PBANKA_0413300.1	Plasmodium berghei ANKA	PbANKA_04_v3:478,204..478,899(-)	ribosomal protein L47, mitochondrial, putative	No	1	N/A	Previous IDs: PB000585.01.0;PBANKA_041330	
PBANKA_0413400	PBANKA_0413400.1	Plasmodium berghei ANKA	PbANKA_04_v3:482,340..483,739(+)	zinc finger protein, putative	No	1	N/A	Previous IDs: PB000589.01.0;PB301471.00.0;PBANKA_041340	
PBANKA_0413500	PBANKA_0413500.1	Plasmodium berghei ANKA	PbANKA_04_v3:484,860..488,050(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000584.01.0;PBANKA_041350	
PBANKA_0413600	PBANKA_0413600.1	Plasmodium berghei ANKA	PbANKA_04_v3:488,282..489,079(-)	zinc finger protein, putative	No	1	N/A	Previous IDs: PB000588.01.0;PBANKA_041360	
PBANKA_0413700	PBANKA_0413700.1	Plasmodium berghei ANKA	PbANKA_04_v3:490,424..491,372(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000587.01.0;PBANKA_041370	
PBANKA_0413800	PBANKA_0413800.1	Plasmodium berghei ANKA	PbANKA_04_v3:491,571..492,491(-)	microneme associated antigen, putative	No	1	MA	Previous IDs: PB000586.01.0;PB300330.00.0;PBANKA_041380	
PBANKA_0413900	PBANKA_0413900.1	Plasmodium berghei ANKA	PbANKA_04_v3:493,878..494,798(+)	ribosomal protein L27, mitochondrial, putative	No	1	N/A	Previous IDs: PB000360.00.0;PBANKA_041390	
PBANKA_0414000	PBANKA_0414000.1	Plasmodium berghei ANKA	PbANKA_04_v3:495,079..501,032(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000361.00.0;PB300514.00.0;PB300960.00.0;PBANKA_041400	
PBANKA_0414100	PBANKA_0414100.1	Plasmodium berghei ANKA	PbANKA_04_v3:504,394..505,710(+)	inorganic pyrophosphatase, putative	No	1	PPase	Previous IDs: PB000567.03.0;PBANKA_041410	
PBANKA_0414200	PBANKA_0414200.1	Plasmodium berghei ANKA	PbANKA_04_v3:506,032..508,635(-)	CS domain-containing protein, putative	No	1	N/A	Previous IDs: PB000184.01.0;PB000566.03.0;PBANKA_041420	
PBANKA_0414300	PBANKA_0414300.1	Plasmodium berghei ANKA	PbANKA_04_v3:510,334..511,707(+)	kinetochore protein NUF2, putative	No	1	NUF2	Previous IDs: PB000182.01.0;PBANKA_041430	
PBANKA_0414400	PBANKA_0414400.1	Plasmodium berghei ANKA	PbANKA_04_v3:512,513..513,798(-)	formate-nitrite transporter, putative	No	1	FNT	Previous IDs: PB000183.01.0;PBANKA_041440	
